Rank,wBW,wEG,wH,wD,wDays
119,0.000117261,0.003409949,0.000117648,0.000825362,0.000117261
120,0.000111398,0.003375849,0.000111766,0.000800602,0.000111398
121,0.000105828,0.003342091,0.000106178,0.000776584,0.000105828
122,0.000100537,0.00330867,0.000100869,0.000753286,0.000100537
123,9.55E-05,0.003275583,9.58E-05,0.000730687,9.55E-05
124,9.07E-05,0.003242827,9.10E-05,0.000708767,9.07E-05
125,8.62E-05,0.003210399,8.65E-05,0.000687504,8.62E-05
126,8.19E-05,0.003178295,8.22E-05,0.000666879,8.19E-05
127,7.78E-05,0.003146512,7.81E-05,0.000646872,7.78E-05
128,7.39E-05,0.003115047,7.41E-05,0.000627466,7.39E-05
129,7.02E-05,0.003083896,7.04E-05,0.000608642,7.02E-05
130,6.67E-05,0.003053058,6.69E-05,0.000590383,6.67E-05
131,6.34E-05,0.003022527,6.36E-05,0.000572671,6.34E-05
132,6.02E-05,0.002992302,6.04E-05,0.000555491,6.02E-05
133,5.72E-05,0.002962379,5.74E-05,0.000538827,5.72E-05
134,5.43E-05,0.002932755,5.45E-05,0.000522662,5.43E-05
135,5.16E-05,0.002903427,5.18E-05,0.000506982,5.16E-05
136,4.90E-05,0.002874393,4.92E-05,0.000491772,4.90E-05
137,4.66E-05,0.002845649,4.67E-05,0.000477019,4.66E-05
138,4.42E-05,0.002817193,4.44E-05,0.000462709,4.42E-05
139,4.20E-05,0.002789021,4.22E-05,0.000448827,4.20E-05
140,3.99E-05,0.00276113,4.01E-05,0.000435363,3.99E-05
141,3.79E-05,0.002733519,3.81E-05,0.000422302,3.79E-05
142,3.60E-05,0.002706184,3.62E-05,0.000409633,3.60E-05
143,3.42E-05,0.002679122,3.44E-05,0.000397344,3.42E-05
144,3.25E-05,0.002652331,3.26E-05,0.000385423,3.25E-05
145,3.09E-05,0.002625808,3.10E-05,0.000373861,3.09E-05
146,2.94E-05,0.00259955,2.95E-05,0.000362645,2.94E-05
147,2.79E-05,0.002573554,2.80E-05,0.000351766,2.79E-05
148,2.65E-05,0.002547819,2.66E-05,0.000341213,2.65E-05
149,2.52E-05,0.00252234,2.53E-05,0.000330976,2.52E-05
150,2.39E-05,0.002497117,2.40E-05,0.000321047,2.39E-05
151,2.27E-05,0.002472146,2.28E-05,0.000311416,2.27E-05
152,2.16E-05,0.002447424,2.17E-05,0.000302073,2.16E-05
153,2.05E-05,0.00242295,2.06E-05,0.000293011,2.05E-05
154,1.95E-05,0.002398721,1.95E-05,0.000284221,1.95E-05
155,1.85E-05,0.002374733,1.86E-05,0.000275694,1.85E-05
156,1.76E-05,0.002350986,1.76E-05,0.000267423,1.76E-05
157,1.67E-05,0.002327476,1.68E-05,0.0002594,1.67E-05
158,1.59E-05,0.002304201,1.59E-05,0.000251618,1.59E-05
159,1.51E-05,0.002281159,1.51E-05,0.00024407,1.51E-05
160,1.43E-05,0.002258348,1.44E-05,0.000236748,1.43E-05
161,1.36E-05,0.002235764,1.36E-05,0.000229645,1.36E-05
162,1.29E-05,0.002213407,1.30E-05,0.000222756,1.29E-05
163,1.23E-05,0.002191273,1.23E-05,0.000216073,1.23E-05
164,1.17E-05,0.00216936,1.17E-05,0.000209591,1.17E-05
165,1.11E-05,0.002147666,1.11E-05,0.000203303,1.11E-05
166,1.05E-05,0.00212619,1.06E-05,0.000197204,1.05E-05
167,1.00E-05,0.002104928,1.00E-05,0.000191288,1.00E-05
168,9.50E-06,0.002083878,9.53E-06,0.000185549,9.50E-06
169,9.02E-06,0.00206304,9.05E-06,0.000179983,9.02E-06
170,8.57E-06,0.002042409,8.60E-06,0.000174583,8.57E-06
171,8.14E-06,0.002021985,8.17E-06,0.000169346,8.14E-06
172,7.74E-06,0.002001765,7.76E-06,0.000164266,7.74E-06
173,7.35E-06,0.001981748,7.37E-06,0.000159338,7.35E-06
174,6.98E-06,0.00196193,7.00E-06,0.000154558,6.98E-06
175,6.63E-06,0.001942311,6.65E-06,0.000149921,6.63E-06
176,6.30E-06,0.001922888,6.32E-06,0.000145423,6.30E-06
177,5.99E-06,0.001903659,6.01E-06,0.00014106,5.99E-06
178,5.69E-06,0.001884622,5.71E-06,0.000136829,5.69E-06
179,5.40E-06,0.001865776,5.42E-06,0.000132724,5.40E-06
180,5.13E-06,0.001847118,5.15E-06,0.000128742,5.13E-06
181,4.88E-06,0.001828647,4.89E-06,0.00012488,4.88E-06
182,4.63E-06,0.001810361,4.65E-06,0.000121133,4.63E-06
183,4.40E-06,0.001792257,4.41E-06,0.000117499,4.40E-06
184,4.18E-06,0.001774334,4.19E-06,0.000113974,4.18E-06
185,3.97E-06,0.001756591,3.98E-06,0.000110555,3.97E-06
186,3.77E-06,0.001739025,3.79E-06,0.000107239,3.77E-06
187,3.58E-06,0.001721635,3.60E-06,0.000104021,3.58E-06
188,3.40E-06,0.001704419,3.42E-06,0.000100901,3.40E-06
189,3.23E-06,0.001687374,3.25E-06,9.79E-05,3.23E-06
190,3.07E-06,0.001670501,3.08E-06,9.49E-05,3.07E-06
191,2.92E-06,0.001653796,2.93E-06,9.21E-05,2.92E-06
192,2.77E-06,0.001637258,2.78E-06,8.93E-05,2.77E-06
193,2.63E-06,0.001620885,2.64E-06,8.66E-05,2.63E-06
194,2.50E-06,0.001604676,2.51E-06,8.40E-05,2.50E-06
195,2.38E-06,0.00158863,2.39E-06,8.15E-05,2.38E-06
196,2.26E-06,0.001572743,2.27E-06,7.91E-05,2.26E-06
197,2.15E-06,0.001557016,2.15E-06,7.67E-05,2.15E-06
198,2.04E-06,0.001541446,2.05E-06,7.44E-05,2.04E-06
199,1.94E-06,0.001526031,1.94E-06,7.22E-05,1.94E-06
200,1.84E-06,0.001510771,1.85E-06,7.00E-05,1.84E-06
201,1.75E-06,0.001495663,1.75E-06,6.79E-05,1.75E-06
202,1.66E-06,0.001480707,1.67E-06,6.59E-05,1.66E-06
203,1.58E-06,0.001465899,1.58E-06,6.39E-05,1.58E-06
204,1.50E-06,0.00145124,1.50E-06,6.20E-05,1.50E-06
205,1.42E-06,0.001436728,1.43E-06,6.01E-05,1.42E-06
206,1.35E-06,0.001422361,1.36E-06,5.83E-05,1.35E-06
207,1.28E-06,0.001408137,1.29E-06,5.66E-05,1.28E-06
208,1.22E-06,0.001394056,1.22E-06,5.49E-05,1.22E-06
209,1.16E-06,0.001380115,1.16E-06,5.32E-05,1.16E-06
210,1.10E-06,0.001366314,1.11E-06,5.16E-05,1.10E-06
211,1.05E-06,0.001352651,1.05E-06,5.01E-05,1.05E-06
212,9.94E-07,0.001339124,9.97E-07,4.86E-05,9.94E-07
213,9.44E-07,0.001325733,9.48E-07,4.71E-05,9.44E-07
214,8.97E-07,0.001312476,9.00E-07,4.57E-05,8.97E-07
215,8.52E-07,0.001299351,8.55E-07,4.43E-05,8.52E-07
